worker_id	segment	warmup	trial	stimulus	target	delay	correct	response	rt	addend1	addend2	addend1_s	addend2_s	calib_rt	keyboard	adjusted_rt
AC5FF0SJI0RXM	add2	False	56	0+16	16	873	True	16	1060	0	16	00	16	851.3333333333334	numbar	208.66666666666663
AC5FF0SJI0RXM	add2	False	102	10+0	10	737	True	10	921	10	0	10	00	580.0	numbar	341.0
AC5FF0SJI0RXM	add2	False	116	9+1	10	729	True	10	906	9	1	09	01	580.0	numbar	326.0
AC5FF0SJI0RXM	add2	False	60	7+3	10	516	True	10	1242	7	3	07	03	580.0	numbar	662.0
AC5FF0SJI0RXM	add2	False	66	6+4	10	551	True	10	896	6	4	06	04	580.0	numbar	316.0
AC5FF0SJI0RXM	add2	False	76	8+2	10	611	True	10	1363	8	2	08	02	580.0	numbar	783.0
AC5FF0SJI0RXM	add2	False	78	4+6	10	536	True	10	908	4	6	04	06	580.0	numbar	328.0
AC5FF0SJI0RXM	add2	False	123	5+5	10	520	True	10	879	5	5	05	05	580.0	numbar	299.0
AC5FF0SJI0RXM	add2	False	140	0+10	10	678	True	10	795	0	10	00	10	580.0	numbar	215.0
AC5FF0SJI0RXM	add2	False	81	1+9	10	728	True	10	945	1	9	01	09	580.0	numbar	365.0
AC5FF0SJI0RXM	add2	False	82	3+7	10	496	True	10	812	3	7	03	07	580.0	numbar	232.0
AC5FF0SJI0RXM	add2	False	107	2+8	10	583	True	10	2509	2	8	02	08	580.0	numbar	1929.0
AC5FF0SJI0RXM	add2	False	103	1+17	18	815	True	18	1085	1	17	01	17	714.0	numbar	371.0
AC5FF0SJI0RXM	add2	False	104	3+15	18	438	True	18	1170	3	15	03	15	714.0	numbar	456.0
AC5FF0SJI0RXM	add2	False	128	15+3	18	403	True	18	1000	15	3	15	03	714.0	numbar	286.0
AC5FF0SJI0RXM	add2	False	146	8+10	18	432	True	18	1922	8	10	08	10	714.0	numbar	1208.0
AC5FF0SJI0RXM	add2	False	49	6+12	18	859	True	18	1484	6	12	06	12	714.0	numbar	770.0
AC5FF0SJI0RXM	add2	False	97	13+5	18	806	True	18	1742	13	5	13	05	714.0	numbar	1028.0
AC5FF0SJI0RXM	add2	False	1	7+11	18	622	True	18	1360	7	11	07	11	714.0	numbar	646.0
AC5FF0SJI0RXM	add2	False	114	10+8	18	482	True	18	1316	10	8	10	08	714.0	numbar	602.0
AC5FF0SJI0RXM	add2	False	143	16+2	18	645	True	18	1552	16	2	16	02	714.0	numbar	838.0
AC5FF0SJI0RXM	add2	False	57	18+0	18	616	True	18	1103	18	0	18	00	714.0	numbar	389.0
AC5FF0SJI0RXM	add2	False	68	11+7	18	461	True	18	1245	11	7	11	07	714.0	numbar	531.0
AC5FF0SJI0RXM	add2	False	84	14+4	18	639	True	18	1794	14	4	14	04	714.0	numbar	1080.0
AC5FF0SJI0RXM	add2	False	126	17+1	18	931	True	18	1764	17	1	17	01	714.0	numbar	1050.0
AC5FF0SJI0RXM	add2	False	138	12+6	18	948	True	18	1300	12	6	12	06	714.0	numbar	586.0
AC5FF0SJI0RXM	add2	False	20	4+14	18	817	True	18	1201	4	14	04	14	714.0	numbar	487.0
AC5FF0SJI0RXM	add2	False	40	0+18	18	462	True	18	1065	0	18	00	18	714.0	numbar	351.0
AC5FF0SJI0RXM	add2	False	47	2+16	18	508	True	18	1387	2	16	02	16	714.0	numbar	673.0
AC5FF0SJI0RXM	add2	False	70	9+9	18	628	True	18	1536	9	9	09	09	714.0	numbar	822.0
AC5FF0SJI0RXM	add2	False	84	5+13	18	985	True	18	1399	5	13	05	13	714.0	numbar	685.0
AC5FF0SJI0RXM	add2	False	105	9+2	11	666	True	11	1389	9	2	09	02	640.3333333333334	numbar	748.6666666666666
AC5FF0SJI0RXM	add2	False	138	11+0	11	998	True	11	716	11	0	11	00	640.3333333333334	numbar	75.66666666666663
AC5FF0SJI0RXM	add2	False	55	2+9	11	886	True	11	1288	2	9	02	09	640.3333333333334	numbar	647.6666666666666
AC5FF0SJI0RXM	add2	False	89	0+11	11	838	True	11	673	0	11	00	11	640.3333333333334	numbar	32.66666666666663
AC5FF0SJI0RXM	add2	False	53	6+5	11	981	True	11	1202	6	5	06	05	640.3333333333334	numbar	561.6666666666666
AC5FF0SJI0RXM	add2	False	59	7+4	11	831	True	11	3832	7	4	07	04	640.3333333333334	numbar	3191.6666666666665
AC5FF0SJI0RXM	add2	False	72	5+6	11	675	True	11	834	5	6	05	06	640.3333333333334	numbar	193.66666666666663
AC5FF0SJI0RXM	add2	False	124	8+3	11	457	True	11	2791	8	3	08	03	640.3333333333334	numbar	2150.6666666666665
AC5FF0SJI0RXM	add2	False	68	4+7	11	891	True	11	1518	4	7	04	07	640.3333333333334	numbar	877.6666666666666
AC5FF0SJI0RXM	add2	False	78	1+10	11	939	True	11	1482	1	10	01	10	640.3333333333334	numbar	841.6666666666666
AC5FF0SJI0RXM	add2	False	95	10+1	11	821	True	11	849	10	1	10	01	640.3333333333334	numbar	208.66666666666663
AC5FF0SJI0RXM	add2	False	106	8+9	17	428	True	17	1490	8	9	08	09	775.5	numbar	714.5
AC5FF0SJI0RXM	add2	False	118	6+11	17	963	True	17	1304	6	11	06	11	775.5	numbar	528.5
AC5FF0SJI0RXM	add2	False	137	7+10	17	716	True	17	1313	7	10	07	10	775.5	numbar	537.5
AC5FF0SJI0RXM	add2	False	16	16+1	17	541	True	17	1026	16	1	16	01	775.5	numbar	250.5
AC5FF0SJI0RXM	add2	False	42	0+17	17	552	True	17	1426	0	17	00	17	775.5	numbar	650.5
AC5FF0SJI0RXM	add2	False	53	10+7	17	719	True	17	1172	10	7	10	07	775.5	numbar	396.5
AC5FF0SJI0RXM	add2	False	54	13+4	17	838	True	17	1199	13	4	13	04	775.5	numbar	423.5
AC5FF0SJI0RXM	add2	False	71	1+16	17	617	True	17	1031	1	16	01	16	775.5	numbar	255.5
AC5FF0SJI0RXM	add2	False	86	2+15	17	508	True	17	1290	2	15	02	15	775.5	numbar	514.5
AC5FF0SJI0RXM	add2	False	9	14+3	17	434	True	17	1281	14	3	14	03	775.5	numbar	505.5
AC5FF0SJI0RXM	add2	False	99	15+2	17	590	True	17	1149	15	2	15	02	775.5	numbar	373.5
AC5FF0SJI0RXM	add2	False	145	4+13	17	754	True	17	1382	4	13	04	13	775.5	numbar	606.5
AC5FF0SJI0RXM	add2	False	92	9+8	17	732	True	17	2612	9	8	09	08	775.5	numbar	1836.5
AC5FF0SJI0RXM	add2	False	113	3+14	17	688	True	17	1272	3	14	03	14	775.5	numbar	496.5
AC5FF0SJI0RXM	add2	False	32	11+6	17	766	True	17	1306	11	6	11	06	775.5	numbar	530.5
AC5FF0SJI0RXM	add2	False	42	5+12	17	663	True	17	1139	5	12	05	12	775.5	numbar	363.5
